id,player_name,pos,age,state,club_name
1,Alexis ,F,30,Reserve,Manchester United
2,Mesut Özil ,M,30,Starter,Arsenal
3,Gonzalo Higuaín ,F,31,Reserve,Chelsea
4,Paul Pogba ,M,26,Starter,Manchester United
5,Kevin De Bruyne ,M,27,Starter,Manchester City
6,Sergio Agüero ,F,30,Starter,Manchester City
7,Eden Hazard ,F,28,Starter,Chelsea
8,David de Gea ,GK,28,Starter,Manchester United
9,Harry Kane ,F,25,Starter,Tottenham
10,Henrikh Mkhitaryan ,M,30,Reserve,Arsenal
11,Mohamed Salah ,F,26,Starter,Liverpool
12,Riyad Mahrez ,F,28,Reserve,Manchester City
13,Alexandre Lacazette ,F,27,Starter,Arsenal
14,Fernandinho ,M,33,Starter,Manchester City
15,Nicolás Otamendi ,D,31,Starter,Manchester City
16,Pierre-Emerick Aubameyang ,F,29,Starter,Arsenal
17,Roberto Firmino ,F,27,Starter,Liverpool
18,Romelu Lukaku ,F,25,Starter,Manchester United
19,Virgil van Dijk ,D,27,Starter,Liverpool
20,David Silva ,M,33,Starter,Manchester City
21,Juan Mata ,M,30,Starter,Manchester United
22,Kepa ,GK,24,Starter,Chelsea
23,Bernardo Silva ,F,24,Reserve,Manchester City
24,Luke Shaw ,D,23,Starter,Manchester United
25,N'Golo Kanté ,M,28,Starter,Chelsea
26,Raheem Sterling ,F,24,Starter,Manchester City
27,Vincent Kompany ,D,33,Reserve,Manchester City
28,Chicharito ,F,30,Starter,West Ham
29,Ilkay Gündogan ,M,28,Reserve,Manchester City
30,James Milner ,M,33,Starter,Liverpool
31,Jamie Vardy ,F,32,Starter,Leicester
32,Jordan Henderson ,M,28,Reserve,Liverpool
33,Daniel Sturridge ,F,29,Reserve,Liverpool
34,Kasper Schmeichel ,GK,32,Starter,Leicester
35,Wilfried Zaha ,F,26,Starter,Crystal Palace
36,David Luiz ,D,31,Starter,Chelsea
37,Danny Welbeck ,F,28,Reserve,Arsenal
38,Max Meyer ,M,23,Reserve,Crystal Palace
39,Aaron Ramsey ,M,28,Starter,Arsenal
40,Alex Oxlade-Chamberlain ,M,25,Reserve,Liverpool
41,Ashley Young ,D,33,Starter,Manchester United
42,Aymeric Laporte ,D,24,Starter,Manchester City
43,Bernard ,F,26,Reserve,Everton
44,Christian Benteke ,F,28,Starter,Crystal Palace
45,Fred ,M,26,Reserve,Manchester United
46,Naby Keïta ,M,24,Starter,Liverpool
47,Nemanja Matic ,M,30,Reserve,Manchester United
48,Victor Lindelöf ,D,24,Starter,Manchester United
49,Willian ,F,30,Starter,Chelsea
50,Yerry Mina ,D,24,Reserve,Everton
51,Ander Herrera ,M,29,Starter,Manchester United
52,Claudio Bravo ,GK,35,Reserve,Manchester City
53,André Gomes ,M,25,Reserve,Everton
54,Adam Lallana ,M,30,Reserve,Liverpool
55,Anthony Martial ,F,23,Reserve,Manchester United
56,Héctor Bellerín ,D,24,Starter,Arsenal
57,Jorginho ,M,27,Starter,Chelsea
58,Kyle Walker ,D,28,Starter,Manchester City
59,Marcos Rojo ,D,29,Reserve,Manchester United
60,Olivier Giroud ,F,32,Reserve,Chelsea
61,Petr Cech ,GK,36,Starter,Arsenal
62,Mateo Kovacic ,M,24,Starter,Chelsea
63,André Schürrle ,F,28,Starter,Fulham
64,Antonio Rüdiger ,D,26,Starter,Chelsea
65,Benjamin Mendy ,D,24,Reserve,Manchester City
66,Bernd Leno ,GK,27,Reserve,Arsenal
67,Danny Drinkwater ,M,29,Reserve,Chelsea
68,Dejan Lovren ,D,29,Reserve,Liverpool
69,Dele Alli ,M,23,Starter,Tottenham
70,Ederson ,GK,25,Starter,Manchester City
71,Eliaquim Mangala ,D,28,Reserve,Manchester City
72,Fabinho ,M,25,Reserve,Liverpool
73,Granit Xhaka ,M,26,Starter,Arsenal
74,Gylfi Sigurdsson ,M,29,Starter,Everton
75,Hugo Lloris ,GK,32,Starter,Tottenham
76,Jack Wilshere ,M,27,Reserve,West Ham
77,Joel Matip ,D,27,Reserve,Liverpool
78,John Stones ,D,24,Reserve,Manchester City
79,Jordan Pickford ,GK,25,Starter,Everton
80,João Moutinho ,M,32,Starter,Wolverhampton
81,Mamadou Sakho ,D,29,Starter,Crystal Palace
82,Marcos Alonso ,D,28,Reserve,Chelsea
83,Marko Arnautovic ,F,29,Reserve,West Ham
84,Morgan Schneiderlin ,M,29,Reserve,Everton
85,Ross Barkley ,M,25,Reserve,Chelsea
86,Rui Patrício ,GK,31,Starter,Wolverhampton
